locus	allele	frequency
D18S535	14	0.2942 
D18S535	15	0.1058 
D18S535	16	0.0078 
D19S253	7	0.1689 
D19S253	8	0.0301 
D19S253	9	0.0155 
D19S253	10	0.0282 
D19S253	11	0.1418 
D19S253	12	0.3291 
D19S253	13	0.2049 
D19S253	14	0.0651 
D19S253	15	0.0146 
D19S253	16	0.0019 
D15S659	8	0.0078 
D15S659	9	0.0039 
D15S659	10	0.0117 
D15S659	11	0.1398 
D15S659	12	0.1913 
D15S659	13	0.1466 
D15S659	14	0.0437 
D15S659	15	0.1291 
D15S659	16	0.1990 
D15S659	17	0.1010 
D15S659	18	0.0243 
D15S659	20	0.0019 
D11S2368	15	0.0100 
D11S2368	16	0.0370 
D11S2368	17	0.1250 
D11S2368	18	0.1100 
D11S2368	19	0.1510 
D11S2368	20	0.1900 
D11S2368	21	0.2340 
D11S2368	22	0.0870 
D11S2368	23	0.0400 
D11S2368	24	0.0130 
D11S2368	25	0.0010 
D11S2368	26	0.0010 
D11S2368	29.2	0.0010 
D20S470	9	0.0185 
D20S470	10	0.0942 
D20S470	11	0.0272 
D20S470	12	0.0553 
D20S470	13	0.1117 
D20S470	14	0.1369 
D20S470	15	0.1952 
D20S470	16	0.2165 
D20S470	17	0.1136 
D20S470	18	0.0262 
D20S470	19	0.0049 
D22.GATA198B05	14	0.0060 
D22.GATA198B05	15	0.0230 
D22.GATA198B05	16	0.0930 
D22.GATA198B05	17	0.1830 
D22.GATA198B05	18	0.0700 
D22.GATA198B05	19	0.0780 
D22.GATA198B05	20	0.1010 
D22.GATA198B05	21	0.2790 
D22.GATA198B05	22	0.1440 
D22.GATA198B05	23	0.0190 
D22.GATA198B05	24	0.0040 
D7S3048	17	0.0090 
D7S3048	18	0.0890 
D7S3048	19	0.0930 
D7S3048	20	0.1750 
D7S3048	21	0.1550 
D7S3048	22	0.1050 
D7S3048	23	0.1390 
D7S3048	24	0.1460 
D7S3048	25	0.0590 
D7S3048	26	0.0270 
D7S3048	27	0.0030 
D8S1132	16	0.0180 
D8S1132	17	0.0980 
D8S1132	18	0.1870 
D8S1132	19	0.2030 
D8S1132	20	0.1420 
D8S1132	20.3	0.0020 
D8S1132	21	0.1350 
D8S1132	22	0.1100 
D8S1132	23	0.0810 
D8S1132	24	0.0150 
D8S1132	25	0.0080 
D8S1132	28	0.0010 
D4S2366	6	0.0019 
D4S2366	7	0.0010 
D4S2366	9	0.3553 
D4S2366	10	0.0485 
D4S2366	11	0.3155 
D4S2366	12	0.1350 
D4S2366	13	0.0757 
D4S2366	14	0.0592 
D4S2366	15	0.0068 
D4S2366	16	0.0010 
D21S1270	8.3	0.0019 
D21S1270	9	0.0068 
D21S1270	9.3	0.0010 
D21S1270	10	0.2505 
D21S1270	10.3	0.0019 
D21S1270	11	0.0767 
D21S1270	12	0.0573 
D21S1270	12.3	0.0738 
D21S1270	13	0.1340 
D21S1270	13.3	0.0602 
D21S1270	14	0.1961 
D21S1270	14.3	0.0116 
D21S1270	15	0.1116 
D21S1270	15.3	0.0068 
D21S1270	16	0.0087 
D21S1270	16.3	0.0010 
D13S325	15	0.0010 
D13S325	16	0.0040 
D13S325	17	0.0090 
D13S325	18	0.0400 
D13S325	19	0.2080 
D13S325	20	0.2680 
D13S325	21	0.2480 
D13S325	22	0.1420 
D13S325	23	0.0510 
D13S325	24	0.0260 
D13S325	25	0.0010 
D13S325	26	0.0010 
D13S325	27	0.0010 
D9S925	11	0.0010 
D9S925	13	0.0087 
D9S925	14	0.1417 
D9S925	15	0.2175 
D9S925	16	0.3272 
D9S925	16.3	0.0175 
D9S925	17	0.2155 
D9S925	17.3	0.0087 
D9S925	18	0.0534 
D9S925	19	0.0087 
D3S3045	9	0.3670 
D3S3045	10	0.0175 
D3S3045	11	0.0447 
D3S3045	12	0.1252 
D3S3045	13	0.2573 
D3S3045	14	0.1544 
D3S3045	15	0.0311 
D3S3045	16	0.0029 
D14S608	6	0.1107 
D14S608	7	0.2214 
D14S608	8	0.0165 
D14S608	9	0.1320 
D14S608	9.3	0.0010 
D14S608	10	0.2049 
D14S608	11	0.1660 
D14S608	12	0.1097 
D14S608	13	0.0320 
D14S608	14	0.0058 
D10S1435	8	0.0097 
D10S1435	9	0.0029 
D10S1435	10	0.0369 
D10S1435	11	0.1699 
D10S1435	12	0.4107 
D10S1435	13	0.2165 
D10S1435	14	0.1369 
D10S1435	15	0.0165 
D17S1290	10	0.0621 
D17S1290	11	0.0515 
D17S1290	12	0.0165 
D17S1290	13	0.0155 
D17S1290	14	0.0214 
D17S1290	15	0.2437 
D17S1290	16	0.2485 
D17S1290	16.2	0.0029 
D17S1290	17	0.1631 
D17S1290	18	0.1078 
D17S1290	19	0.0466 
D17S1290	20	0.0165 
D17S1290	21	0.0039 
D5S2500	9	0.0010 
D5S2500	10	0.0194 
D5S2500	11	0.3117 
D5S2500	12	0.1767 
D5S2500	13	0.0485 
D5S2500	14	0.0903 
D5S2500	15	0.2592 
D5S2500	16	0.0641 
D5S2500	17	0.0291 
D7S1517	15	0.0041 
D7S1517	16	0.0031 
D7S1517	17	0.0072 
D7S1517	18	0.0145 
D7S1517	19	0.0630 
D7S1517	20	0.1260 
D7S1517	21	0.1415 
D7S1517	22	0.1457 
D7S1517	22.2	0.0010 
D7S1517	23	0.1467 
D7S1517	24	0.0981 
D7S1517	25	0.1715 
D7S1517	26	0.0486 
D7S1517	27	0.0186 
D7S1517	28	0.0103 
D3S1744	13	0.0186 
D3S1744	14	0.0899 
D3S1744	15	0.0940 
D3S1744	16	0.0981 
D3S1744	17	0.3471 
D3S1744	18	0.2076 
D3S1744	19	0.1023 
D3S1744	20	0.0372 
D3S1744	21	0.0052 
D2S1360	19	0.0103 
D2S1360	20	0.0041 
D2S1360	21	0.1839 
D2S1360	22	0.5774 
D2S1360	23	0.1147 
D2S1360	24	0.0227 
D2S1360	25	0.0300 
D2S1360	26	0.0176 
D2S1360	27	0.0155 
D2S1360	28	0.0186 
D2S1360	29	0.0021 
D2S1360	30	0.0031 
D6S474	14	0.3076 
D6S474	15	0.4219 
D6S474	16	0.1592 
D6S474	17	0.0879 
D6S474	18	0.0234 
D21S2055	16.1	0.0992 
D21S2055	17.1	0.0062 
D21S2055	20.1	0.0010 
D21S2055	22	0.0041 
D21S2055	22.1	0.0010 
D21S2055	23	0.0021 
D21S2055	24	0.0269 
D21S2055	25	0.2035 
D21S2055	26	0.2138 
D21S2055	27	0.0444 
D21S2055	28	0.0217 
D21S2055	29	0.0382 
D21S2055	30	0.0186 
D21S2055	31	0.0145 
D21S2055	32	0.0475 
D21S2055	33	0.0589 
D21S2055	34	0.1064 
D21S2055	35	0.0651 
D21S2055	36	0.0196 
D21S2055	37	0.0062 
D21S2055	38	0.0010 
D10S2325	6	0.0238 
D10S2325	7	0.2985 
D10S2325	8	0.0238 
D10S2325	9	0.0630 
D10S2325	10	0.0992 
D10S2325	11	0.1395 
D10S2325	12	0.1136 
D10S2325	13	0.1302 
D10S2325	14	0.0558 
D10S2325	15	0.0300 
D10S2325	16	0.0103 
D10S2325	17	0.0041 
D10S2325	18	0.0031 
D10S2325	19	0.0021 
D10S2325	20	0.0010 
D10S2325	20.1	0.0021 
SE33	6	0.0010 
SE33	6.3	0.0010 
SE33	13	0.0020 
SE33	14	0.0041 
SE33	15	0.0062 
SE33	15.2	0.0010 
SE33	16	0.0238 
SE33	17	0.0475 
SE33	18	0.0743 
SE33	19	0.0640 
SE33	20	0.0692 
SE33	20.2	0.0041 
SE33	21	0.0486 
SE33	21.2	0.0227 
SE33	22	0.0145 
SE33	22.2	0.0372 
SE33	23	0.0031 
SE33	23.2	0.0496 
SE33	24	0.0021 
SE33	24.2	0.0589 
SE33	25	0.0021 
SE33	25.2	0.0630 
SE33	26.2	0.0620 
SE33	27.2	0.0754 
SE33	28.2	0.0806 
SE33	29	0.0010 
SE33	29.2	0.0650 
SE33	30.2	0.0548 
SE33	31.2	0.0434 
SE33	32.2	0.0072 
SE33	33.2	0.0083 
SE33	34.2	0.0021 
D12ATA63	12	0.3525 
D12ATA63	13	0.0049 
D12ATA63	14	0.0381 
D12ATA63	15	0.0068 
D12ATA63	16	0.2588 
D12ATA63	17	0.2383 
D12ATA63	18	0.0840 
D12ATA63	19	0.0127 
D12ATA63	20	0.0039 
D1S1677	10	0.0010 
D1S1677	11	0.0010 
D1S1677	12	0.0176 
D1S1677	13	0.1250 
D1S1677	14	0.4336 
D1S1677	15	0.3398 
D1S1677	16	0.0693 
D1S1677	17	0.0117 
D1S1677	18	0.0010 
D11S4463	9	0.0020 
D11S4463	11	0.0059 
D11S4463	12	0.0391 
D11S4463	13	0.2773 
D11S4463	14	0.2949 
D11S4463	15	0.2617 
D11S4463	15.3	0.0020 
D11S4463	16	0.0918 
D11S4463	17	0.0186 
D11S4463	18	0.0059 
D11S4463	20	0.0010 
D1S1627	10	0.0586 
D1S1627	11	0.0010 
D1S1627	12	0.1357 
D1S1627	13	0.5410 
D1S1627	14	0.2549 
D1S1627	15	0.0078 
D1S1627	16	0.0010 
D3S4529	11	0.0020 
D3S4529	12	0.0010 
D3S4529	13	0.2129 
D3S4529	14	0.2598 
D3S4529	15	0.3164 
D3S4529	16	0.1855 
D3S4529	17	0.0205 
D3S4529	18	0.0020 
D6S1017	7	0.0010 
D6S1017	8	0.1348 
D6S1017	9	0.0020 
D6S1017	10	0.4668 
D6S1017	11	0.0293 
D6S1017	12	0.2402 
D6S1017	13	0.1143 
D6S1017	14	0.0098 
D6S1017	15	0.0020 
D4S2408	7	0.0010 
D4S2408	8	0.1641 
D4S2408	9	0.2920 
D4S2408	10	0.3672 
D4S2408	11	0.1484 
D4S2408	12	0.0273 
D17S1301	8	0.0010 
D17S1301	9	0.0225 
D17S1301	10	0.0557 
D17S1301	11	0.1836 
D17S1301	12	0.4873 
D17S1301	13	0.1953 
D17S1301	14	0.0479 
D17S1301	15	0.0068 
D1GATA113	7	0.4854 
D1GATA113	8	0.0020 
D1GATA113	10	0.0010 
D1GATA113	11	0.1270 
D1GATA113	12	0.3398 
D1GATA113	13	0.0439 
D1GATA113	14	0.0010 
D18S853	10	0.0156 
D18S853	11	0.4111 
D18S853	12	0.0615 
D18S853	13	0.2520 
D18S853	14	0.2012 
D18S853	15	0.0566 
D18S853	16	0.0010 
D18S853	18	0.0010 
D20S482	9	0.0010 
D20S482	10	0.0225 
D20S482	11	0.0098 
D20S482	12	0.0488 
D20S482	13	0.3057 
D20S482	14	0.3975 
D20S482	15	0.1602 
D20S482	16	0.0527 
D20S482	17	0.0020 
D14S1434	10	0.0752 
D14S1434	11	0.1484 
D14S1434	12	0.0273 
D14S1434	13	0.2725 
D14S1434	14	0.4502 
D14S1434	15	0.0225 
D14S1434	16	0.0039 
D9S1122	9	0.0010 
D9S1122	10	0.0342 
D9S1122	11	0.1396 
D9S1122	12	0.3545 
D9S1122	13	0.4043 
D9S1122	14	0.0518 
D9S1122	15	0.0107 
D9S1122	16	0.0039 
D2S1776	7	0.0029 
D2S1776	8	0.0029 
D2S1776	9	0.1426 
D2S1776	10	0.0508 
D2S1776	11	0.2471 
D2S1776	12	0.4014 
D2S1776	13	0.1201 
D2S1776	14	0.0283 
D2S1776	15	0.0039 
